Location,Admission Location,Admission Note Location,Appointment Location,Archives Location,COVID-19 Location,Check-In Location,Chemotherapy Location,Consult Note Location,Dispensing Location,Echocardiogram Location,ED Note Location,ED Triage Location,HIV Consult Location,Identifier Assignment Location,Inpatients App Location,Labs Component Location,Lab Results Location,Login Location,Maternal and Child Location,Medical Record Location,Mental Health Location,NCD Consult Location,Oncology Consult Location,Order Pathology Location,Order Radiology Study Location,Primary Care Consult Location,Program Location,Provider Management Location,Registration Location,Registration and Check-In Location,Surgery Note Location,Tablet Entry Location,Transfer Location,Vaccination Location,Visit Location,Vitals Location
La Colline,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,TRUE,,,,,,,,TRUE,
Achiv Santral | La Colline,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,,,,,,,
COVID-19 | Izolman | La Colline,TRUE,,,,TRUE,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,TRUE,,,,TRUE,,,TRUE,TRUE,,,TRUE
Ijans | La Colline,,,,,TRUE,TRUE,,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,TRUE,,,TRUE,,,TRUE
Klinik Ekstèn | La Colline,,,TRUE,,TRUE,TRUE,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,,TRUE
Klinik Ekstèn Jeneral | La Colline,,,TRUE,,,TRUE,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,TRUE,,TRUE,TRUE,TRUE,,,,,,TRUE
Klinik Ekstèn Famasi | La Colline,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
Onkoloji | La Colline,TRUE,,TRUE,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,TRUE
Sal Aprè Akouchman | La Colline,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,,,,,,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,TRUE,,,TRUE
Sal Aprè Operasyon | La Colline,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,TRUE,,,TRUE
Sal Aprè Operasyon | Sante Fanm | La Colline,TRUE,TRUE,,,TRUE,,,TRUE,,,,,,,TRUE,,,TRUE,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,TRUE,,,TRUE
Sal Avan Akouchman | La Colline,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,,,,,,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,TRUE,,,TRUE
Sal Fanm | La Colline,TRUE,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE
Sal Gason | La Colline,TRUE,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE
Sal Izolman | La Colline,TRUE,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,
Sal Reyabilitasyon | La Colline,TRUE,TRUE,,,TRUE,,,TRUE,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE
Sal Timoun | La Colline,TRUE,TRUE,,,TRUE,,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,TRUE,TRUE,,TRUE,,,,,TRUE,,,TRUE
Sante Fanm | La Colline,,,TRUE,,TRUE,TRUE,,TRUE,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,TRUE,,,TRUE,,,,,TRUE,TRUE,,TRUE
Swen Entansif | La Colline,TRUE,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE
Swen Entansif Neonatal | La Colline,TRUE,TRUE,,,TRUE,,,TRUE,,,,,,,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,,,,,TRUE,,,TRUE
Travay e Akouchman | La Colline,TRUE,TRUE,,,TRUE,,,TRUE,,,,,,,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,TRUE,TRUE,,,TRUE,,,,,TRUE,,,TRUE
UMI | La Colline,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,,,,TRUE,,,,TRUE,,,TRUE,TRUE,,,TRUE
