Location,Admission Location,Admission Note Location,Appointment Location,Archives Location,COVID-19 Location,Check-In Location,Chemotherapy Location,Consult Note Location,Dispensing Location,Echocardiogram Location,ED Note Location,ED Triage Location,HIV Consult Location,Identifier Assignment Location,Inpatients App Location,Labs Component Location,Lab Results Location,Login Location,Maternal and Child Location,Medical Record Location,Mental Health Location,NCD Consult Location,Oncology Consult Location,Order Pathology Location,Order Radiology Study Location,Primary Care Consult Location,Program Location,Provider Management Location,Registration Location,Registration and Check-In Location,Surgery Note Location,Tablet Entry Location,Transfer Location,Vaccination Location,Visit Location,Vitals Location
Mirebalais,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,TRUE,
CDI Klinik Ekstèn Jeneral,,TRUE,TRUE,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,TRUE
Hôpital Universitaire de Mirebalais - Prensipal,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,
CDI Klinik Ekstèn Jeneral Achiv Santral,,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,TRUE,,,TRUE,,,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,TRUE
CDI Klinik Ekstèn Jeneral Biwo Randevou,,TRUE,TRUE,,,TRUE,,,,,,,,,TRUE,,,TRUE,,,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,TRUE
CDI Klinik Ekstèn Jeneral Famasi,,TRUE,TRUE,,,TRUE,,,TRUE,,,,,,TRUE,,,TRUE,,,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,TRUE
CDI Klinik Ekstèn Jeneral Laboratwa,,TRUE,TRUE,,,TRUE,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,TRUE
CDI Klinik Ekstèn Jeneral Radyografi,,TRUE,TRUE,,,TRUE,,,,,,,,,TRUE,,,TRUE,,,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,TRUE
CDI Klinik Ekstèn Jeneral Sal Pwosedi,,TRUE,TRUE,,TRUE,TRUE,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,,,TRUE
Achiv Santral,,,,TRUE,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,,,,,,,
Bank Pou San,,,,,,,,,,,,,,,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,,,,,
Biwo Resepsyon,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,,,,,,,
Onkoloji,TRUE,,TRUE,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,TRUE
COVID-19 | Izolman,TRUE,,,,TRUE,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,TRUE,,,,TRUE,,,TRUE,TRUE,,,TRUE
UMI,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,,,,TRUE,,,,TRUE,,,TRUE,TRUE,,,TRUE
Dantis,,,TRUE,,,TRUE,,TRUE,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,TRUE,,,TRUE,,,TRUE
Ijans,,,,,TRUE,TRUE,,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,TRUE,,,TRUE,,,TRUE
Ijans | Sante Fanm,,TRUE,,,TRUE,TRUE,,TRUE,,,,,,,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,TRUE,TRUE,,,TRUE,,,,,TRUE,,,TRUE
Ijans Resepsyon,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,,,,,,,
