Uuid,Role name,Description,Inherited roles,Privileges
05a3c5fc-3c7f-4c93-87d2-c6013e71a102,Application Role: clinical,Application Role: clinical,,App: coreapps.activeVisits; App: coreapps.awaitingAdmission; App: edtriageapp.edtriage; App: edtriageapp.edtriage.queue; App: emr.inpatients; App: mirebalais.outpatientVitals; App: reportingui.reports; Task: appointmentschedulingui.requestAppointments; Task: appointmentschedulingui.viewConfidential; Task: coreapps.createVisit; Task: coreapps.editRelationships; Task: edtriageapp.enterNote; Task: emr.enterAdmissionNote; Task: emr.enterConsultNote; Task: emr.enterCOVID; Task: emr.enterEDNote; Task: emr.enterLabResults; Task: emr.enterOncologyConsultNote; Task: emr.enterPrimaryCareConsultNote; Task: emr.enterSurgicalNote; Task: emr.enterVax; Task: emr.enterVitalsNote; Task: emr.printLabels; Task: emr.printWristband; Task: emr.retroConsultNoteThisProviderOnly; Task: growthchart.viewGrowthCharts; Task: labworkflow.viewLabs; Task: Manage Condition Lists; Task: mirebalais.enterDeathCertificate; Task: Modify Allergies; Task: orderentry.orderLabs; Task: org.openmrs.module.radiologyapp.orderCT; Task: org.openmrs.module.radiologyapp.orderUS; Task: org.openmrs.module.radiologyapp.orderXray; Task: org.openmrs.module.radiologyapp.tab
0b30c2e0-6276-4bf5-a8ac-e38da035888a,Application Role: dataArchives,Application Role: dataArchives,,App: coreapps.activeVisits; App: coreapps.awaitingAdmission; App: coreapps.findPatient; App: emr.archivesRoom; App: emr.inpatients; App: mirebalais.checkin; App: mirebalais.mpi; App: pihcore.waitingForConsult; App: registrationapp.registerPatient; App: reportingui.reports; Task: coreapps.createRetrospectiveVisit; Task: coreapps.createVisit; Task: coreapps.editRelationships; Task: coreapps.mergeVisits; Task: emr.enterAdmissionNote; Task: emr.enterConsultNote; Task: emr.enterEDNote; Task: emr.enterLabResults; Task: emr.enterOncologyConsultNote; Task: emr.enterSurgicalNote; Task: emr.enterVitalsNote; Task: emr.printWristband; Task: emr.requestPaperRecord; Task: emr.retroConsultNote; Task: mirebalais.checkinForm; Task: org.openmrs.module.radiologyapp.orderCT; Task: org.openmrs.module.radiologyapp.orderUS; Task: org.openmrs.module.radiologyapp.orderXray; Task: org.openmrs.module.radiologyapp.retroOrder
3672ebe7-ed59-461f-a662-5ae3cd2e46ac,Application Role: radiology,Application Role: radiology,,App: coreapps.activeVisits; App: emr.inpatients; App: reportingui.reports; Task: coreapps.createVisit; Task: emr.printWristband; Task: emr.requestPaperRecord; Task: org.openmrs.module.radiologyapp.orderCT; Task: org.openmrs.module.radiologyapp.orderUS; Task: org.openmrs.module.radiologyapp.orderXray; Task: org.openmrs.module.radiologyapp.tab
343872bd-a927-4f9d-bf2c-75f895c44f6c,Application Role: reports,Application Role: reports,,App: mirebalaisreports.dataexports; App: reportingui.adHocAnalysis; App: reportingui.reports
2170e9bf-6d30-4ad9-9319-a454bf32dbf9,Application Role: archivistAide,Application Role: archivistAide,,App: emr.archivesRoom; Task: coreapps.editRelationships
f6fcff07-8da1-4c7f-8c62-07352101d0a8,Application Role: scheduleAdministrator,Application Role: scheduleAdministrator,,App: appointmentschedulingui.appointmentTypes; App: appointmentschedulingui.home; App: appointmentschedulingui.providerSchedules
eeece3a4-94f8-4693-bc29-d862bbf6da0b,Application Role: scheduler,Application Role: scheduler,,App: appointmentschedulingui.home; App: appointmentschedulingui.viewAppointments; Task: appointmentschedulingui.bookAppointments; Task: appointmentschedulingui.viewConfidential
7b82b7ff-6da7-4be2-adb3-44e000f95895,Application Role: scheduleViewer,Application Role: scheduleViewer,,App: appointmentschedulingui.home; App: appointmentschedulingui.viewAppointments
5d08f1df-f161-46f0-9246-90b2f24aa862,Application Role: patientMedicalInformation,Application Role: patientMedicalInformation,,App: coreapps.findPatient; App: coreapps.patientDashboard; App: coreapps.patientVisits; App: coreapps.summaryDashboard
d711c948-2d9b-4700-9c80-c32ec6a8ddeb,Application Role: checkIn,Application Role: checkIn,,App: mirebalais.checkin
